Customers,Monthly Average for 2004,Monthly Average for 2005,Monthly Average for 2006
A1,884331.3333333334,430468.895,383916.58999999997
A2,463267.30666666664,345781.205,247032.125
A3,786777.03,300793.77999999997,327823.9275
A4,294014.095,79500.24666666667,572590.54
A5,1263699.91,515182.06000000006,306368.6966666666
A6,629123.9400000001,453240.9,412984.694
A7,1136396.1600000001,223054.09,255718.61000000002
A8,421445.9466666667,427759.6025,482802.2849999999
A9,550699.855,250135.12,253290.57400000002
A10,256899.09,581579.3133333334,266397.888
A11,401461.07666666666,369511.13,366959.988
A12,721412.91,704763.5866666668,358046.078
A13,509004.8425,699800.398,385226.5571428571
A14,914866.4650000001,593989.5766666668,283426.97625
A15,419274.46499999997,248464.07333333336,449447.72599999997
A16,438469.04000000004,287666.494,592387.2720000001
A17,598694.705,292610.76999999996,642043.71
A18,855393.99,176915.43399999998,583833.83
A19,555585.9500000001,424727.00500000006,506009.01
A20,411839.3333333333,345651.926,624263.215
A21,632140.3025,376059.47857142857,768563.924
A22,765451.27,430109.61799999996,630813.4140000001
A23,873400.0399999999,286032.835,277442.698
A24,758744.1000000001,268107.6316666667,419484.63666666666
A25,522539.8749999999,326073.5283333333,578948.736
A26,755131.39,514990.8900000001,325168.8128571428
A27,429936.86000000004,935236.3950000001,586853.9724999999
A28,603775.7100000001,310093.9625,547142.1739999999
A29,931108.96,272880.92199999996,399934.88714285713
A30,457535.5366666666,139561.47000000003,508785.62666666665
A31,562134.965,617049.275,182265.78000000003
A32,841894.27,349398.638,174130.035
A33,223268.955,234239.73666666666,307757.1716666667
A34,932142.72,340613.0733333333,473424.41
A35,403162.50666666665,419440.875,424938.84750000003
A36,852649.8266666665,708583.175,632892.216
A37,437507.216,360745.192,441650.07666666666
A38,996600.4833333334,657080.2740000001,565520.16
A39,1063336.835,441429.5375,523099.5625
A40,933839.8999999999,676261.5800000001,392077.4150000001
A41,609954.625,613774.5016666666,434371.3819999999
A42,578976.6775,534012.3925,380609.92285714287
A43,466175.20999999996,557586.022,840444.0599999999
A44,501797.98199999996,249360.21,728062.6933333334
A45,654625.6433333334,569740.0216666665,401981.76
A46,711485.9366666666,588954.2483333334,404289.034
A47,1028960.1500000001,646579.8516666665,325201.23166666663
A48,747870.97,456915.75625000003,416415.04000000004
A49,775560.065,314879.38999999996,700188.5299999999
A50,518817.69,356361.36,430120.6566666667
A51,401766.355,263285.0125,279080.7425
A52,494785.3466666667,377312.102,450937.5
A53,521733.3,295498.59428571427,382123.865
A54,563487.2799999999,179448.9475,391987.43200000003
A55,1113069.6,480538.51166666666,209356.27500000002
A56,510850.93000000005,425888.7375,306046.0857142857
A57,393115.855,361385.15750000003,326906.528
A58,644053.7266666667,182222.04666666666,719737.3925
A59,694108.71,435075.86666666664,303586.98000000004
A60,960468.9766666667,744888.3766666666,458774.22375
A61,646208.4866666667,491328.0375,391634.57875000004
A62,436772.8933333333,215680.6425,348100.86666666664
A63,0.0,310905.25,180692.76
A64,0.0,468684.01,393513.71
A65,177417.81,98178.42,0.0
A66,321903.62,162670.43,0.0
A67,199744.78,0.0,356872.73
A68,9665.48,0.0,204971.1
A69,0.0,113339.36,50449.44
A70,0.0,188959.72,80593.94
A71,0.0,116422.06,194447.62
A72,360587.42,0.0,0.0
A73,0.0,47380.56,0.0
A74,0.0,216681.9,0.0
A75,0.0,217827.88,0.0
A76,0.0,30066.44,0.0
A77,0.0,0.0,31048.93
A78,0.0,0.0,432217.57
A79,0.0,0.0,405913.14
A80,0.0,0.0,474797.3
A81,0.0,0.0,175659.72
A82,0.0,0.0,379401.53
A83,0.0,0.0,177942.07
A84,0.0,0.0,124861.57
A85,0.0,0.0,398873.75
A86,0.0,0.0,166438.62
A87,0.0,0.0,483886.62
A88,0.0,0.0,26518.91
A89,0.0,0.0,24972.02
A90,0.0,0.0,264882.27
A91,0.0,0.0,89951.84
A92,0.0,0.0,341858.87
A93,297505.09,0.0,0.0
A94,312714.37,0.0,0.0
A95,240401.5,0.0,0.0
A96,54729.66,0.0,0.0
A97,139018.26,0.0,0.0
A98,284521.06,0.0,0.0
A99,90184.22,0.0,0.0
A100,224786.88,0.0,0.0
